,S,B,C,L
2018-05-31,0.2020190410968334,1.1311652897982443e-17,0.2861432775750092,0.5118376813281574
2018-06-01,0.202436886367229,1.762715158695169e-17,0.28395448933519196,0.513608624297579
2018-06-04,0.20442690079550083,4.3842425349882586e-18,0.2880389456760333,0.5075341535284659
2018-06-05,0.22840973824474622,1.6362363090275713e-18,0.2746900679819518,0.49690019377330197
2018-06-06,0.2423896697371139,6.125408765759318e-18,0.2558916513474719,0.5017186789154142
2018-06-07,0.2571381629649895,1.786282263168157e-18,0.24705782474826263,0.4958040122867478
2018-06-08,0.26087496066190496,8.975082859194467e-18,0.25309679841897026,0.4860282409191248
2018-06-11,0.2633832333379864,5.836543713163617e-18,0.2520219426619823,0.4845948240000313
2018-06-12,0.2702554508124983,0.0,0.2484378768963558,0.48130667229114593
2018-06-13,0.2912774077753299,3.937009138837988e-18,0.25516528533610383,0.45355730688856627
2018-06-14,0.2883916521767145,3.764992549975392e-18,0.2614165434083552,0.45019180441493045
2018-06-15,0.27681228729959423,1.4061576526278552e-19,0.2749288718384652,0.44825884086194057
2018-06-18,0.29154755293448753,1.061078173025462e-17,0.2488684999730386,0.45958394709247385
2018-06-19,0.21727968587852267,0.3631854186140743,0.19691834923592222,0.22261654627148086
2018-06-20,0.21360335766421376,0.346109240394787,0.20465907061676816,0.23562833132423106
2018-06-21,0.24061558449971326,0.30103591909441824,0.21951112375452408,0.23883737265134447
2018-06-22,0.28804297374958165,0.03936126158630986,0.2717208600308164,0.4008749046332921
2018-06-25,0.29633450506081693,3.310882384227609e-17,0.2696854298707447,0.43398006506843834
2018-06-26,0.2791821646333604,3.603955783977597e-17,0.2691187415505638,0.45169909381607576
2018-06-27,0.2845928853388431,6.618529580703994e-18,0.2622948717657171,0.4531122428954399
2018-06-28,0.3167120214482711,5.9385479931999e-18,0.24099762143368705,0.4422903571180419
2018-06-29,0.32330198950334094,0.0,0.23716514379894083,0.43953286669771824
2018-07-02,0.32366672332200197,1.0834053670408586e-18,0.23139924254603988,0.4449340341319582
2018-07-03,0.3491861031174447,0.0,0.20323648289520682,0.44757741398734846
2018-07-05,0.3507794846984022,2.0775567216070043e-18,0.20243992783873183,0.446780587462866
2018-07-06,0.36475133043530145,0.0,0.1898309567550275,0.445417712809671
2018-07-09,0.3581441525104636,7.72773948631519e-18,0.18953188587707429,0.45232396161246213
